Exchange Date,Open,OpenEURUSD,OpenUSDCHF,OpenUSDJPY,OpenNZDCAD
3-Oct-05,1.7618,1.2021,1.2929,113.46,0.8046
30-Sep-05,1.7613,1.2033,1.2939,113.11,0.8086
29-Sep-05,1.7681,1.204,1.2915,113.02,0.8064
28-Sep-05,1.767,1.2012,1.2953,113.23,0.8013
27-Sep-05,1.7794,1.2073,1.2892,112.14,0.804
26-Sep-05,1.772,1.2033,1.293,112.41,0.8053
23-Sep-05,1.7903,1.2155,1.2782,111.63,0.812
22-Sep-05,1.8096,1.2222,1.2694,111.27,0.8161
21-Sep-05,1.7988,1.212,1.2813,111.96,0.8155
20-Sep-05,1.8025,1.2136,1.2788,111.49,0.8174
19-Sep-05,1.8033,1.2166,1.2741,111.46,0.8274
16-Sep-05,1.8057,1.2222,1.2674,110.65,0.8361
15-Sep-05,1.8225,1.2281,1.2576,110.3,0.8352
14-Sep-05,1.8222,1.2267,1.2605,110.64,0.8302
13-Sep-05,1.8186,1.2275,1.2587,110.34,0.8339
12-Sep-05,1.8409,1.2401,1.2436,109.17,0.833
9-Sep-05,1.8356,1.2395,1.2446,110.51,0.8327
8-Sep-05,1.8356,1.2412,1.2434,110.02,0.8356
7-Sep-05,1.8419,1.2465,1.2381,109.58,0.8432
6-Sep-05,1.8435,1.2542,1.2308,109.1,0.8426
5-Sep-05,1.8393,1.2534,1.2293,109.71,0.8377
2-Sep-05,1.8342,1.2501,1.2342,109.73,0.8331
1-Sep-05,1.8033,1.2338,1.2531,110.58,0.8261
31-Aug-05,1.7855,1.2216,1.2693,111.24,0.8198
30-Aug-05,1.7948,1.222,1.2673,110.68,0.8304
29-Aug-05,1.8016,1.2284,1.2583,110.11,0.8302
26-Aug-05,1.8025,1.2297,1.2566,110.06,0.8308
25-Aug-05,1.8004,1.227,1.2642,110.19,0.8298
24-Aug-05,1.8,1.2226,1.2701,109.89,0.8358
23-Aug-05,1.8011,1.2222,1.2706,109.69,0.8359
22-Aug-05,1.796,1.2161,1.274,110.42,0.8402
19-Aug-05,1.7931,1.2179,1.271,110.49,0.8478
18-Aug-05,1.8066,1.2275,1.2615,109.75,0.8498
17-Aug-05,1.8097,1.235,1.2555,109.58,0.8435
16-Aug-05,1.8112,1.2368,1.2549,109.26,0.8461
15-Aug-05,1.8162,1.2457,1.2454,109.43,0.8467
12-Aug-05,1.8113,1.2469,1.2458,109.65,0.8479
11-Aug-05,1.7963,1.2384,1.2558,110.62,0.8408
10-Aug-05,1.7868,1.2376,1.2585,111.84,0.8395
9-Aug-05,1.7841,1.2346,1.2616,112.14,0.8395
8-Aug-05,1.7762,1.2339,1.2643,112.13,0.8381
5-Aug-05,1.7805,1.2387,1.2572,111.22,0.8372
4-Aug-05,1.7776,1.2331,1.2611,111.1,0.84
3-Aug-05,1.7708,1.2191,1.2765,111.38,0.8366
2-Aug-05,1.7666,1.2175,1.2791,112.32,0.8275
1-Aug-05,1.7565,1.2122,1.2884,112.58,0.8296
29-Jul-05,1.7557,1.2126,1.2857,112.14,0.8403
28-Jul-05,1.7436,1.2064,1.2949,112.37,0.8387
27-Jul-05,1.7373,1.2018,1.299,112.46,0.8383
26-Jul-05,1.7467,1.2065,1.2944,111.41,0.8342
25-Jul-05,1.738,1.2053,1.2977,111.36,0.8336
22-Jul-05,1.7528,1.2164,1.2854,110.3,0.8341
21-Jul-05,1.7402,1.2149,1.2849,112.77,0.8275
20-Jul-05,1.7398,1.2031,1.2998,112.75,0.8217
19-Jul-05,1.748,1.205,1.294,111.91,0.8236
18-Jul-05,1.7501,1.2021,1.2975,112.26,0.8212
15-Jul-05,1.7565,1.2082,1.2897,112.26,0.8183
14-Jul-05,1.7632,1.2081,1.2901,111.9,0.8116
13-Jul-05,1.7782,1.2239,1.2704,110.82,0.8254
12-Jul-05,1.7576,1.2073,1.2867,111.72,0.8253
11-Jul-05,1.7368,1.1965,1.2993,112.22,0.8222
8-Jul-05,1.7436,1.1946,1.2988,112.04,0.8248
7-Jul-05,1.7526,1.193,1.3015,112.21,0.8301
6-Jul-05,1.7561,1.1914,1.3034,111.66,0.8396
5-Jul-05,1.7581,1.1897,1.3035,111.56,0.8414
4-Jul-05,1.7655,1.1933,1.2975,111.67,0.8501
1-Jul-05,1.7907,1.2097,1.2815,110.75,0.8534
30-Jun-05,1.8067,1.2071,1.282,110.4,0.8589
29-Jun-05,1.8166,1.2064,1.2806,109.86,0.8643
28-Jun-05,1.829,1.2167,1.2674,109.22,0.87
27-Jun-05,1.8229,1.2089,1.2742,109.19,0.8713
24-Jun-05,1.8143,1.2027,1.2797,108.93,0.8706
23-Jun-05,1.8218,1.213,1.2712,108.81,0.8844
22-Jun-05,1.827,1.2172,1.2658,108.32,0.8826
21-Jun-05,1.8248,1.2152,1.2703,109.29,0.883
20-Jun-05,1.8251,1.2193,1.2647,108.88,0.8819
17-Jun-05,1.8226,1.2109,1.2716,108.89,0.882
16-Jun-05,1.8226,1.2122,1.2695,109.14,0.8824
15-Jun-05,1.8058,1.2027,1.2777,109.42,0.885
14-Jun-05,1.8072,1.2116,1.2701,109.52,0.886
13-Jun-05,1.8118,1.2111,1.2684,108.56,0.8823
10-Jun-05,1.8201,1.2228,1.2542,107.37,0.8941
9-Jun-05,1.8231,1.2235,1.2542,107.25,0.8915
8-Jun-05,1.8345,1.228,1.2458,106.58,0.8898
7-Jun-05,1.8239,1.2259,1.2488,106.88,0.881
6-Jun-05,1.8126,1.2222,1.2534,107.7,0.8714
3-Jun-05,1.8157,1.2272,1.2514,108.25,0.8743
2-Jun-05,1.8117,1.2204,1.2546,108.57,0.8703
1-Jun-05,1.8169,1.2303,1.2476,108.51,0.8833
31-May-05,1.823,1.2472,1.2384,107.99,0.8932
30-May-05,1.8233,1.2532,1.2321,107.98,0.8955
27-May-05,1.8204,1.2511,1.2355,107.95,0.8973
26-May-05,1.8314,1.2601,1.2264,107.65,0.9023
25-May-05,1.8273,1.2576,1.2295,107.61,0.8977
24-May-05,1.829,1.2567,1.2312,107.67,0.8935
23-May-05,1.8246,1.2542,1.2346,108.15,0.8949
20-May-05,1.8349,1.2636,1.2219,107.64,0.8926
19-May-05,1.8389,1.2673,1.2193,107.01,0.8981
18-May-05,1.835,1.261,1.2244,107.41,0.8933
17-May-05,1.8373,1.2626,1.2226,106.85,0.8969
16-May-05,1.8507,1.2624,1.2245,107.31,0.9007
13-May-05,1.8633,1.2671,1.2173,106.85,0.8972
12-May-05,1.8719,1.2803,1.2057,105.81,0.9106
11-May-05,1.8826,1.2879,1.2008,105.52,0.9048
10-May-05,1.8858,1.2864,1.2029,105.65,0.9027
9-May-05,1.8905,1.2815,1.2072,105.09,0.9084
6-May-05,1.9036,1.2958,1.1931,104.48,0.9146
5-May-05,1.9025,1.295,1.1911,104.53,0.9144
4-May-05,1.892,1.287,1.1989,104.95,0.9104
3-May-05,1.8952,1.2852,1.1984,105.09,0.9146
2-May-05,1.9064,1.286,1.1962,105.03,0.919
29-Apr-05,1.907,1.2896,1.192,106.1,0.9107
28-Apr-05,1.9033,1.2924,1.1928,105.9,0.9044
27-Apr-05,1.9056,1.2991,1.1862,106.05,0.8988
26-Apr-05,1.9105,1.2988,1.188,105.76,0.8997
25-Apr-05,1.916,1.3062,1.181,105.48,0.9027
22-Apr-05,1.9074,1.3048,1.1839,106.91,0.9002
21-Apr-05,1.9195,1.3088,1.177,106.9,0.9026
20-Apr-05,1.9175,1.3054,1.1815,106.81,0.8947
19-Apr-05,1.9037,1.3019,1.1876,107.36,0.8955
18-Apr-05,1.8929,1.2912,1.2004,107.66,0.8925
15-Apr-05,1.879,1.2798,1.2148,108.24,0.8937
14-Apr-05,1.8939,1.2919,1.1994,107.31,0.8961
13-Apr-05,1.8918,1.2916,1.199,107.69,0.8923
